Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
1,07/14/1999,15,1,0,836,836,0,0,"['Tarif Salah']","{'Tarif Salah': 836}",15_ptv_490826.json,
2,07/19/1999,15,18,5,2740,152,593,118,"['Tarif Salah', 'Orlev Zevulun', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Dayan Yael', 'Ze`evi Rechavam', 'Hugi Ofer', 'Chazan Naomi', 'Cohen Amnon', 'Cohen Ra`anan', 'Levy Maxim', 'Landau Uzi', 'Landver Sofa', 'Nahari Meshulam', 'Solodkin Marina', 'Poraz Avraham', 'Pines-Paz Ophir', 'Peretz Yair', 'Peretz Amir', 'Rivlin Reuven', 'Shtern Yuri', 'Simhon Shalom']","{'Tarif Salah': 878, 'Orlev Zevulun': 87, 'Galon Zehava': 7, 'Gafni Moshe': 110, 'Dehamshe Abdulmalik': 67, 'Dayan Yael': 331, 'Ze`evi Rechavam': 464, 'Hugi Ofer': 26, 'Chazan Naomi': 248, 'Cohen Amnon': 0, 'Cohen Ra`anan': 63, 'Levy Maxim': 0, 'Landau Uzi': 0, 'Landver Sofa': 7, 'Nahari Meshulam': 54, 'Solodkin Marina': 0, 'Poraz Avraham': 10, 'Pines-Paz Ophir': 0, 'Peretz Yair': 88, 'Peretz Amir': 306, 'Rivlin Reuven': 428, 'Shtern Yuri': 159, 'Simhon Shalom': 0}",15_ptv_490827.json,
3,07/20/1999,15,14,4,2255,161,404,101,"['Tarif Salah', 'Pines-Paz Ophir', 'Levy Maxim', 'Landver Sofa', 'Rivlin Reuven', 'Eitan Michael', 'Cohen Amnon', 'Hugi Ofer', 'Peretz Yair', 'Chazan Naomi', 'Galon Zehava', 'Solodkin Marina', 'Sandberg Eliezer', 'Milo Roni', 'Orlev Zevulun', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Shtern Yuri']","{'Tarif Salah': 1123, 'Pines-Paz Ophir': 0, 'Levy Maxim': 0, 'Landver Sofa': 0, 'Rivlin Reuven': 235, 'Eitan Michael': 262, 'Cohen Amnon': 0, 'Hugi Ofer': 0, 'Peretz Yair': 35, 'Chazan Naomi': 109, 'Galon Zehava': 105, 'Solodkin Marina': 190, 'Sandberg Eliezer': 20, 'Milo Roni': 158, 'Orlev Zevulun': 60, 'Gafni Moshe': 303, 'Dehamshe Abdulmalik': 0, 'Shtern Yuri': 59}",15_ptv_490828.json,
4,07/26/1999,15,18,5,2029,112,27,5,"['Oron Chaim', 'Eitan Michael', 'Bronfman Roman', 'Barakeh Mohammad', 'Gozansky Tamar', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam', 'Sandberg Eliezer', 'Cohen Amnon', 'Cohen Ra`anan', 'Katz Yossi', 'Landver Sofa', 'Nahari Meshulam', 'Solodkin Marina', 'Porat Hanan', 'Pines-Paz Ophir', 'Peretz Yair', 'Rabin-Pelossof Dalia', 'Rivlin Reuven', 'Steinitz Yuval', 'Shtern Yuri']","{'Oron Chaim': 98, 'Eitan Michael': 745, 'Bronfman Roman': 0, 'Barakeh Mohammad': 87, 'Gozansky Tamar': 13, 'Galon Zehava': 14, 'Gafni Moshe': 239, 'Dehamshe Abdulmalik': 117, 'Ze`evi Rechavam': 279, 'Sandberg Eliezer': 0, 'Cohen Amnon': 0, 'Cohen Ra`anan': 8, 'Katz Yossi': 124, 'Landver Sofa': 0, 'Nahari Meshulam': 19, 'Solodkin Marina': 0, 'Porat Hanan': 99, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rabin-Pelossof Dalia': 0, 'Rivlin Reuven': 0, 'Steinitz Yuval': 76, 'Shtern Yuri': 138}",15_ptv_490829.json,
,07/27/1999,15,18,5,5865,325,166,33,"['Tarif Salah', 'Eitan Michael', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hugi Ofer', 'Chazan Naomi', 'Cohen Amnon', 'Landver Sofa', 'Milo Roni', 'Nahari Meshulam', 'Solodkin Marina', 'Pines-Paz Ophir', 'Peretz Yair', 'Rivlin Reuven', 'Sheetrit Meir', 'Shtern Yuri', 'Oron Chaim', 'El-Sana Talab', 'Naot Yehudith', 'Paritzky Joseph', 'Kleiner Michael', 'Rabin-Pelossof Dalia']","{'Tarif Salah': 1838, 'Eitan Michael': 842, 'Barakeh Mohammad': 253, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 0, 'Hugi Ofer': 0, 'Chazan Naomi': 0, 'Cohen Amnon': 0, 'Landver Sofa': 166, 'Milo Roni': 105, 'Nahari Meshulam': 0, 'Solodkin Marina': 0, 'Pines-Paz Ophir': 0, 'Peretz Yair': 0, 'Rivlin Reuven': 673, 'Sheetrit Meir': 0, 'Shtern Yuri': 402, 'Oron Chaim': 433, 'El-Sana Talab': 345, 'Naot Yehudith': 0, 'Paritzky Joseph': 24, 'Kleiner Michael': 950, 'Rabin-Pelossof Dalia': 0}",15_ptv_490830.json,
7,07/29/1999,15,12,2,1420,118,207,103,"['Tarif Salah', 'Orlev Zevulun', 'Barakeh Mohammad', 'Dehamshe Abdulmalik', 'Dahan Nissim', 'Hugi Ofer', 'Chazan Naomi', 'Cohen Amnon', 'Levy Maxim', 'Nahari Meshulam', 'Solodkin Marina', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 871, 'Orlev Zevulun': 18, 'Barakeh Mohammad': 36, 'Dehamshe Abdulmalik': 0, 'Dahan Nissim': 59, 'Hugi Ofer': 30, 'Chazan Naomi': 185, 'Cohen Amnon': 60, 'Levy Maxim': 35, 'Nahari Meshulam': 0, 'Solodkin Marina': 22, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 311, 'Shtern Yuri': 0}",15_ptv_490832.json,
8,08/01/1999,15,11,4,1243,113,29,7,"['Tarif Salah', 'Orlev Zevulun', 'Galon Zehava', 'Hugi Ofer', 'Chazan Naomi', 'Cohen Amnon', 'Katz Israel', 'Landver Sofa', 'Makhoul Issam', 'Milo Roni', 'Shaban Yitzhak', 'Solodkin Marina', 'Rivlin Reuven', 'Shiry Wizman', 'Shtern Yuri']","{'Tarif Salah': 685, 'Orlev Zevulun': 25, 'Galon Zehava': 13, 'Hugi Ofer': 0, 'Chazan Naomi': 16, 'Cohen Amnon': 47, 'Katz Israel': 0, 'Landver Sofa': 0, 'Makhoul Issam': 0, 'Milo Roni': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Rivlin Reuven': 454, 'Shiry Wizman': 5, 'Shtern Yuri': 7}",15_ptv_490833.json,
9,08/04/1999,15,8,2,1238,154,0,0,"['Tarif Salah', 'Barakeh Mohammad', 'Zeev Nissim', 'Nahari Meshulam', 'Hugi Ofer', 'Peretz Yair', 'Galon Zehava', 'Solodkin Marina', 'Dehamshe Abdulmalik', 'Ze`evi Rechavam']","{'Tarif Salah': 704, 'Barakeh Mohammad': 0, 'Zeev Nissim': 49, 'Nahari Meshulam': 0, 'Hugi Ofer': 0, 'Peretz Yair': 0, 'Galon Zehava': 0, 'Solodkin Marina': 0, 'Dehamshe Abdulmalik': 0, 'Ze`evi Rechavam': 485}",15_ptv_490834.json,
11,09/07/1999,15,6,1,1386,231,95,95,"['Pines-Paz Ophir', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Ze`evi Rechavam', 'Chazan Naomi', 'Cohen Ra`anan', 'Rivlin Reuven']","{'Pines-Paz Ophir': 541, 'Edelstein Yuli-Yoel': 100, 'Barakeh Mohammad': 0, 'Ze`evi Rechavam': 419, 'Chazan Naomi': 95, 'Cohen Ra`anan': 16, 'Rivlin Reuven': 310}",15_ptv_490836.json,
12,9/14/1999,15,10,3,4569,456,824,274,"['Tarif Salah', 'Eitan Michael', 'Barakeh Mohammad', 'Gafni Moshe', 'Galon Zehava', 'Ze`evi Rechavam', 'Chazan Naomi', 'Levy Maxim', 'Landver Sofa', 'Shaban Yitzhak', 'Pines-Paz Ophir', 'Rivlin Reuven', 'Shtern Yuri']","{'Tarif Salah': 1624, 'Eitan Michael': 1253, 'Barakeh Mohammad': 0, 'Gafni Moshe': 479, 'Galon Zehava': 0, 'Ze`evi Rechavam': 700, 'Chazan Naomi': 415, 'Levy Maxim': 0, 'Landver Sofa': 409, 'Shaban Yitzhak': 0, 'Pines-Paz Ophir': 0, 'Rivlin Reuven': 228, 'Shtern Yuri': 285}",15_ptv_490837.json,
