Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Number Of Words Spoken By Females,Participants,Json,Participant English Name,Participant Gender,Participant Spoken Words, Json File Name
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Katz Yossi,Male,1150,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Ariel Uri Yehuda,Male,0,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Boim Ze`ev,Male,12,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Barakeh Mohammad,Male,188,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Gafni Moshe,Male,83,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Dehamshe Abdulmalik,Male,0,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Hirchson Abraham,Male,0,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Vilan Avshalom,Male,39,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Sandberg Eliezer,Male,0,15_ptv_494200.json,
354,11/04/2002,15,23,3,1779,9,"['Katz Yossi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Vilan Avshalom', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Amnon', 'Mishani Mordechai', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gilon Ilan', 'Zeev Nissim', 'Tal David', 'Melloul Rahamim', 'Poraz Avraham', 'Kara Ayoob']","{'Katz Yossi': 1150, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 12, 'Barakeh Mohammad': 188, 'Gafni Moshe': 83, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Vilan Avshalom': 39, 'Sandberg Eliezer': 0, 'Chazan Naomi': 3, 'Yahalom Shaul': 3, 'Cohen Amnon': 0, 'Mishani Mordechai': 20, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 6, 'Reshef Tzaly': 0, 'Shtern Yuri': 19, 'Gilon Ilan': 0, 'Zeev Nissim': 0, 'Tal David': 168, 'Melloul Rahamim': 4, 'Poraz Avraham': 93, 'Kara Ayoob': 0}",Chazan Naomi,Female,3,15_ptv_494200.json,
